os;sc;item;Produto;Descricao;Quantidade;emissao;APLICACAO;Observacao;cotacao;pc;dt_aprovacao_n1;dt_aprovacao_n2;dt_aprovacao_n3;quantidade_ja_entregue;ja_emitiu_fornecedor;valor_total;status_sc;status_pc;previsao_entrega;pc_eliminado_residuo;motivo_eliminado_residuo;sc_eliminado_residuo;data_pc;conta_pc;centro_custo_pc;solicitante;requisitante;fornecedor;tipo_pagamento
;502304;0001;88388;DEGRAUS REFRIGERADOS COM MATERIAL ORIGINAL XCS3.2 DE ACORDO;24;26/07/2017;CALDEIRA MDF-II;SC gerada por SA - DEGRAUS REFRIGERADOS PARA AS GRELHAS CALDEIRA MDF-II;IMPORX;751750;07/08/2017;30/08/2017;31/08/2017;0;S;64904,88;B;L;05/12/2017;;;;31/07/2017;113800001;2202002;tiago.ferrugem;GABRIEL MALHEIROS;VYNCKE N V  BELGICA;025
;502304;0002;88389;SUPORTE EXTRAS ANTI-DESGASTE SOLDADAS NOS DEGRAUS PARA MELHO;24;26/07/2017;CALDEIRA MDF-II;SC gerada por SA - SUPORTE ANTI-DESGASTE DOS DEGRAUS REFRIGERADOS PARA GRELHAS CALDEIRA MDF-II;IMPORX;751750;07/08/2017;30/08/2017;31/08/2017;0;S;26880;B;L;05/12/2017;;;;31/07/2017;113800001;2202002;tiago.ferrugem;GABRIEL MALHEIROS;VYNCKE N V  BELGICA;025
;502304;0003;88390;ELETRODO OK 67.60 COM Ø2.5 X 300MM;2550;26/07/2017;CALDEIRA MDF-II;SC gerada por SA - MATERIAL NECESSARIO PARA MONTAGEM DOS DEGRAUS REFRIGERADOS NAS GRELHAS CALDEIRA MDF-II;IMPORX;751750;07/08/2017;30/08/2017;31/08/2017;0;S;2703;B;L;05/12/2017;;;;31/07/2017;113800001;2202002;tiago.ferrugem;GABRIEL MALHEIROS;VYNCKE N V  BELGICA;025
;502304;0004;88391;BARRA DE SOLDADURA OK 67.60 OK COM Ø3.2 X 350MM;2784;26/07/2017;CALDEIRA MDF-II;SC gerada por SA - MATERIAL NECESSARIO PARA MONTAGEM DOS DEGRAUS REFRIGERADOS NAS GRELHAS CALDEIRA MDF-II;IMPORX;751750;07/08/2017;30/08/2017;31/08/2017;0;S;5512,32;B;L;05/12/2017;;;;31/07/2017;113800001;2202002;tiago.ferrugem;GABRIEL MALHEIROS;VYNCKE N V  BELGICA;025
;506643;0002;89986;MATERIAL DE CONSERTO APLICADO EM MAQUINAS E EQUIPAMENTOS;1;15/02/2019;AGITADOR DO DIGESTOR MDF 2;MATERIAL APLICADO NO CONSERTO;047778;777761;;;;0;;54175;L;B;08/05/2019;S;Elim. Automatica Fora Prazo Data: 31/07/19 as 16:02:37;;27/02/2019;512206002;2203002;william.rosa;vidal;TGS-COMERCIO E SERVICOS ESPECIALIZADOS EM REDUTORES INDUSTRI;003
;508814;0002;89986;MATERIAL DE CONSERTO APLICADO EM MAQUINAS E EQUIPAMENTOS;1;04/09/2019;TALHA ELETRICA;MATERIAL APLICADO;048992;784236;;;;0;;1365,5;L;L;05/09/2019;S;;;05/09/2019;113800001;2299008;william.rosa;joao.berchol;SOLUCOES TECNICAS INDUSTRIAIS DE ESTRUTURAS METALICAS LTDA;002
;510969;0003;C00077;SERV DE MANUTENCAO MAQUINAS E EQUIPAMENTOS INDUSTRIAIS;1;11/01/2019;ETA;CONSERTO EXTERNO INVERSOR SIEMENS MICROMASTER CODIGO DE ALMOX 54936 (BOMBAS DE EMERGENCIA MDF) INVERSOR MICROMASTER MM440 380-440V 6SE6440-2UD31-5DA1 SIEMENS;047287;776953;16/01/2019;22/01/2019;22/01/2019;1;S;9315,97;L;L;03/02/2019;;;;14/01/2019;512206002;2102001;joao.berchol;RICARDO ANTUNES;USINA INDUSTRIA E COMERCIO DE EQUIPAMENTOS ELETRICOS LTDA;003
;511440;0001;35551;CAIXA C/ FERRAMENTAS P/ OFICINA;13;01/01/2019;OFICINA MECANICA;CAIXAS DE FERRAMENTAS TRANSFERIDAS DE SAPUCAIA 27/12/2018;047228;777040;18/01/2019;23/01/2019;23/01/2019;13;S;650;L;L;18/01/2019;;;;17/01/2019;512206002;2104003;ricardo.rodrigues;ricardo.rodrigues;ISDRALIT IND E COM LTDA;003
;511440;0002;34192;FURADEIRA BOSCH MOD.GBM 13-2 1/2''220V 600W RPM 550/1200 COD;3;01/01/2019;OFICINA MECANICA;FURANDEIRAS TRANSFERIDAS DE SAPUCAIA EM 27/12/2018;047228;777040;18/01/2019;23/01/2019;23/01/2019;3;S;90;L;L;18/01/2019;;;;17/01/2019;512206002;2104003;ricardo.rodrigues;ricardo.rodrigues;ISDRALIT IND E COM LTDA;003
;511440;0003;15192;SOPRADOR TERMICO (220V) REF= 8290504 FG / 060194C714 BOSCH;1;01/01/2019;OFICINA MECANICA;SOPRADOR TRANSFERIDO DE SAPUCAIA EM 27/12/2018;047228;777040;18/01/2019;23/01/2019;23/01/2019;1;S;50;L;L;18/01/2019;;;;17/01/2019;512206002;2104003;ricardo.rodrigues;ricardo.rodrigues;ISDRALIT IND E COM LTDA;003
